state,Avg Deaths,Avg Deaths in percentage
AK,5.5,0.565263906833359
AL,21.0,2.1557464742390757
AR,10.0,1.0310866332820934
AZ,46.0,4.715125642726386
CA,163.5,16.700931435882445
CO,30.0,3.072721995362206
CT,3.0,0.3085924933959111
DC,4.5,0.46142174691643273
DE,2.0,0.20328334030155093
FL,60.0,6.142510004369544
GA,27.5,2.8131165955698902
HI,4.0,0.41243465331283735
IA,5.0,0.511875833697462
ID,6.5,0.6647050872179836
IL,23.5,2.4094839013216562
IN,16.5,1.68552276825804
KS,9.5,0.9732975806138947
KY,17.0,1.7418448277488046
LA,23.0,2.34876086229859
MA,10.5,1.077139740530821
MD,15.0,1.535627501092386
ME,2.0,0.2047503334789848
MI,14.5,1.482239427956489
MN,13.0,1.332344160790835
MO,21.0,2.14987850152934
MS,8.0,0.8190013339159392
MT,4.5,0.46142174691643273
NC,28.0,2.873839634592956
ND,1.0,0.1023751667394924
NE,7.5,0.7670802539574761
NH,2.5,0.25520442026001405
NJ,13.5,1.3798642612169965
NM,20.5,2.099424414748311
NV,16.5,1.68552276825804
NY,18.0,1.8412860081334292
OH,27.5,2.8131165955698902
OK,29.0,2.964478855912978
OR,15.0,1.535627501092386
PA,20.0,2.0504373211447158
RI,1.0,0.10384215991692627
SC,18.0,1.8412860081334292
SD,3.5,0.35904658017694036
TN,21.0,2.1513454947067743
TX,90.0,9.202029061134844
UT,9.0,0.9199095074779977
VA,17.5,1.7908319213524
VT,1.5,0.15429624669795555
WA,21.0,2.1572134674165095
WI,14.0,1.4376533138851952
WV,11.0,1.1275938273118502
WY,4.0,0.40656668060310186
