ID,Name,Poverty Universe Avg,Number in Poverty Avg,Percent in Poverty Avg
1000,AL,4738864.5,845025.0,17.85
2000,AK,722359.5,73428.5,10.15
4000,AZ,6721407.0,1133099.5,16.9
5000,AR,2892994.5,519060.5,17.95
6000,CA,38455705.0,5711938.0,14.9
8000,CO,5379967.0,606394.0,11.25
9000,CT,3475216.0,355019.0,10.25
10000,DE,923605.5,112623.5,12.2
11000,DC,642838.0,116481.5,18.1
12000,FL,20020666.0,3057649.0,15.3
13000,GA,9991661.5,1659099.5,16.65
15000,HI,1391783.0,140844.0,10.1
16000,ID,1637344.5,233341.5,14.25
17000,IL,12530747.0,1661592.0,13.3
18000,IN,6425142.0,911798.0,14.2
19000,IA,3026548.0,360441.0,11.899999999999999
20000,KS,2828421.0,354921.0,12.55
21000,KY,4294496.0,784562.0,18.25
22000,LA,4543890.0,898908.0,19.8
23000,ME,1294477.0,165394.5,12.75
24000,MD,5869137.0,578077.5,9.8
25000,MA,6566488.5,720409.5,11.0
26000,MI,9700374.5,1487006.5,15.3
27000,MN,5381474.0,539144.0,10.05
28000,MS,2894769.0,622896.0,21.55
29000,MO,5906537.0,851031.0,14.4
30000,MT,1012918.5,140536.5,13.9
31000,NE,1846884.5,216780.0,11.75
32000,NV,2873678.0,416066.0,14.5
33000,NH,1290144.5,103023.0,8.0
34000,NJ,8775522.5,930689.5,10.600000000000001
35000,NM,2041943.5,397912.5,19.450000000000003
36000,NY,19257033.0,2914779.0,15.15
37000,NC,9838006.5,1565141.5,15.899999999999999
38000,ND,731516.0,77782.0,10.6
39000,OH,11291369.0,1655061.5,14.65
40000,OK,3802580.0,611778.5,16.05
41000,OR,3984282.0,569897.5,14.3
42000,PA,12377005.5,1607287.5,13.0
44000,RI,1016118.5,139203.5,13.7
45000,SC,4785271.0,768091.5,16.05
46000,SD,833458.5,109825.0,13.2
47000,TN,6464687.5,1050845.5,16.25
48000,TX,27041308.0,4258490.5,15.75
49000,UT,2976004.0,319251.5,10.7
50000,VT,600369.0,65234.0,10.850000000000001
51000,VA,8144767.0,905735.0,11.1
53000,WA,7096514.5,834658.0,11.75
54000,WV,1786525.5,320478.5,17.95
55000,WI,5624356.5,670701.0,11.95
56000,WY,571761.5,61601.5,10.75
