,State,Total_Population
0,AK,712898
1,AL,3167669
2,AR,2004830
3,AZ,6161288
4,CA,36359352
5,CO,4534734
6,CT,2196132
7,DC,647484
8,DE,403932
9,FL,15032142
10,GA,4790859
11,HI,1354589
12,IA,2488020
13,ID,1143459
14,IL,11328531
15,IN,4532790
16,KS,2421673
17,KY,2577542
18,LA,3049199
19,MA,4723628
20,MD,4900011
21,ME,619594
22,MI,5524778
23,MN,4482289
24,MO,4245734
25,MS,1650074
26,MT,705601
27,NC,5883931
28,ND,571748
29,NE,1475367
30,NH,627658
31,NJ,5354828
32,NM,1736918
33,NV,2646336
34,NY,15995830
35,OH,8151970
36,OK,3010414
37,OR,3137450
38,PA,7094608
39,PR,2031386
40,RI,649824
41,SC,2235980
42,SD,645276
43,TN,4073428
44,TX,20852774
45,UT,2781752
46,VA,5651340
47,VT,242597
48,WA,5788355
49,WI,4210730
50,WV,808730
51,WY,453761
